AUPRC,AUROC,authors
0.439,0.902,Matthew HP; Bahareh Pourbabaee
0.244,0.852,Yang Liu; Runnan He
0.228,0.822,Márton Görög; Bálint Varga; Péter Hajas
0.214,0.815,Andrea Patane'; Shadi Ghiasi; Marta Kwiatkowska
0.160,0.765,Sardar Ansari
0.129,0.735,Filip Plesinger; Petr Nejedly; Ivo Viscor; Josef Halamek; Petr Andrla; Pavel Jurak
0.119,0.739,Philip de Chazal; Nadi Sadr
0.088,0.700,Wang Chao
0.088,0.700,Sample entry (Python)
0.082,0.652,Rohan Banerjee; Tanuka Bhattacharjee; Anirban Dutta Choudhury; Deepan Das
0.081,0.605,Ivan Lazić; Danica Despotović; Assoc. prof. dr Nikša Jakovljević; Prof. dr Tatjana Lončar-Turukalo
0.075,0.618,Alexander Yee
0.067,0.513,Sven Schellenberger; Kilin Shi
0.063,0.596,Saman Parvaneh; Jonathan Rubin; Ali Samadani; Adi Prakash; Gajendra Katuwal
0.063,0.550,Guðni Fannar Kristjánsson; Heiðar Már Þráinsson; Hanna Ragnarsdóttir
0.063,0.544,Ruhallah Amandi
0.056,0.547,Haozhu Wang; Ian Fox; Sayan Ghosh; Jenna Wiens
0.056,0.511,Fernando Andreotti; Oliver Carr; Kirubin Pillay; Navin Cooray; Huy Phan; Maarten De Vos
0.055,0.500,Yinghua (Kelly) Shen
0.055,0.500,Hongyang Li; Yuanfang Guan
0.051,0.488,Daniel Miller; Andrew Ward
0.043,0.500,Yizhou Zhong; Haoqi Li; Qineng Cao
0.037,0.315,Romeo Cabanban; Yan Xu; Dasom Heo; Eleni Spring; Kyle Rhoden
0.027,0.500,Shubha Majumder; Dr. Chunwu Wang; Abdiaziz Mohamud; Ajay K. Verma; Dr. Kouhyar Tavakolian
0.027,0.500,Jia Dongya; Yan Cong; Zhao Wei; Xu Yanwu; Hu Jing; Wang Hongmei; You Tianyuan
