Channel,Availability_%,Sampling_Freq_Hz,FS_Occurrence_%_within_Channel,Total_Files_with_this_FS
abd,99.65,200.0,96.32,549
abd,99.65,512.0,2.63,15
abd,99.65,250.0,1.05,6
abdomen,0.35,250.0,50.0,1
abdomen,0.35,512.0,50.0,1
airflow,99.65,200.0,96.14,548
airflow,99.65,512.0,2.63,15
airflow,99.65,250.0,1.23,7
airflow2,2.62,512.0,100.0,15
c3,0.35,250.0,50.0,1
c3,0.35,512.0,50.0,1
c3-m2,98.25,200.0,96.26,541
c3-m2,98.25,512.0,2.67,15
c3-m2,98.25,250.0,1.07,6
c4,0.35,250.0,50.0,1
c4,0.35,512.0,50.0,1
c4-m1,97.55,200.0,96.24,537
c4-m1,97.55,512.0,2.69,15
c4-m1,97.55,250.0,1.08,6
cflow,67.31,200.0,94.29,363
cflow,67.31,512.0,3.9,15
cflow,67.31,250.0,1.82,7
chest,100.0,200.0,95.98,549
chest,100.0,512.0,2.8,16
chest,100.0,250.0,1.22,7
chin1,0.35,250.0,50.0,1
chin1,0.35,512.0,50.0,1
chin1-chin2,95.98,200.0,96.17,528
chin1-chin2,95.98,512.0,2.73,15
chin1-chin2,95.98,250.0,1.09,6
chin2,3.85,512.0,72.73,16
chin2,3.85,250.0,27.27,6
cpres,52.97,200.0,100.0,303
e1,0.35,250.0,50.0,1
e1,0.35,512.0,50.0,1
e1-m2,98.78,200.0,96.28,544
e1-m2,98.78,512.0,2.65,15
e1-m2,98.78,250.0,1.06,6
e2,0.35,250.0,50.0,1
e2,0.35,512.0,50.0,1
e2-m1,62.06,200.0,94.08,334
e2-m1,62.06,512.0,4.23,15
e2-m1,62.06,250.0,1.69,6
e2-m2,36.71,200.0,100.0,210
ecg,0.35,200.0,100.0,2
ecg-la,2.8,512.0,100.0,16
ecg-ll,2.8,512.0,100.0,16
ecg-ra,2.8,512.0,100.0,16
ecg-v1,2.8,512.0,100.0,16
ecg-v2,2.8,512.0,100.0,16
ekg,96.68,200.0,98.73,546
ekg,96.68,250.0,1.27,7
f3,0.35,250.0,50.0,1
f3,0.35,512.0,50.0,1
f3-m2,98.25,200.0,96.26,541
f3-m2,98.25,512.0,2.67,15
f3-m2,98.25,250.0,1.07,6
f4,0.35,250.0,50.0,1
f4,0.35,512.0,50.0,1
f4-m1,97.73,200.0,96.24,538
f4-m1,97.73,512.0,2.68,15
f4-m1,97.73,250.0,1.07,6
flow,0.17,512.0,100.0,1
flow_dr,0.17,512.0,100.0,1
lat,96.85,200.0,98.74,547
lat,96.85,250.0,1.26,7
lleg+,2.8,512.0,100.0,16
lleg-,2.8,512.0,100.0,16
m1,4.02,512.0,69.57,16
m1,4.02,250.0,30.43,7
m2,4.02,512.0,69.57,16
m2,4.02,250.0,30.43,7
o1,0.35,250.0,50.0,1
o1,0.35,512.0,50.0,1
o1-m2,98.25,200.0,96.26,541
o1-m2,98.25,512.0,2.67,15
o1-m2,98.25,250.0,1.07,6
o2,0.35,250.0,50.0,1
o2,0.35,512.0,50.0,1
o2-m1,97.38,200.0,96.23,536
o2-m1,97.38,512.0,2.69,15
o2-m1,97.38,250.0,1.08,6
pressure,2.8,512.0,100.0,16
ptaf,95.1,200.0,95.96,522
ptaf,95.1,512.0,2.76,15
ptaf,95.1,250.0,1.29,7
rat,95.63,200.0,98.72,540
rat,95.63,250.0,1.28,7
rleg+,2.8,512.0,100.0,16
rleg-,2.8,512.0,100.0,16
sao2,95.98,200.0,100.0,549
spo2,4.02,512.0,69.57,16
spo2,4.02,250.0,30.43,7
